,Datetime,headline,link
0,2025-05-23 08:40:00,Gold Eyes Best Week in a Month: Will ETFs Sustain the Rally?,https://finviz.com/news/65080/gold-eyes-best-week-in-a-month-will-etfs-sustain-the-rally
1,2025-05-22 09:45:00,"Apple, Tesla and Nvidia Shares to Trade as Digital Tokens on Crypto Exchange Kraken",https://finance.yahoo.com/m/160483bd-dcd3-3d15-aed2-d3e1b3a7258b/apple%2C-tesla-and-nvidia.html
2,2025-05-20 05:09:00,"Here's Another Piece of Evidence That Bitcoin Is Becoming ""Digital Gold""",https://finviz.com/news/61342/heres-another-piece-of-evidence-that-bitcoin-is-becoming-digital-gold
3,2025-05-14 16:46:00,Bridgewater reveals its top buys and sells of Q1 in latest filing,https://finance.yahoo.com/video/bridgewater-reveals-top-buys-sells-204637794.html
4,2025-05-14 16:28:00,Here's Why You Should Stick With Gold ETFs,https://finviz.com/news/57972/heres-why-you-should-stick-with-gold-etfs
5,2025-05-14 08:00:00,Gold & the Fed: Investing in the metal amid rate cut hopes,https://finance.yahoo.com/video/gold-fed-investing-metal-amid-120018810.html
6,2025-05-12 12:52:00,ETFs on the Move Post U.S.-China Trade Deal,https://finviz.com/news/54987/etfs-on-the-move-post-us-china-trade-deal
7,2025-05-12 06:53:00,3 ETF Strategies to Follow on Temporary U.S.-China Trade Deal,https://finviz.com/news/54436/3-etf-strategies-to-follow-on-temporary-us-china-trade-deal
8,2025-05-08 07:00:00,Institutions Skipped the Rally: Where the Money Went,https://finviz.com/news/51328/institutions-skipped-the-rally-where-the-money-went
9,2025-05-08 03:00:00,Gold's Strange Behavior,https://seekingalpha.com/article/4783452-golds-strange-behavior?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
10,2025-05-07 19:57:00,Gladstone Land: Farm Land REIT Struggles After IPO,https://seekingalpha.com/article/4783265-gladstone-land-farm-land-reit-struggles-after-ipo?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
11,2025-05-07 18:35:00,GLD: We Are Entering Speculative Territory (Rating Downgrade),https://seekingalpha.com/article/4783231-gld-we-are-entering-speculative-territory-rating-downgrade?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
12,2025-05-07 17:47:00,Gold slides on U.S.-China trade talk hopes but analysts say still well-supported,https://seekingalpha.com/news/4443905-gold-slides-on-us-china-trade-talk-hopes-but-analysts-say-still-well-supported?utm_source=finviz.com&utm_medium=referral&feed_item_type=news
13,2025-05-07 10:34:00,The 4-Fund Trump Portfolio,https://seekingalpha.com/article/4782889-the-4-fund-trump-portfolio?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
14,2025-05-07 10:00:00,How to Play the Gold Rush With ETFs,https://finviz.com/news/50079/how-to-play-the-gold-rush-with-etfs
15,2025-05-07 08:45:00,Gold's Record Run in 2025: Here Are 3 Ways to Ride the Surge,https://finviz.com/news/49632/golds-record-run-in-2025-here-are-3-ways-to-ride-the-surge
16,2025-05-07 08:00:00,"Oil, Gold ETFs Rise on Commodity Resurgence",https://finance.yahoo.com/m/f2a3f81d-8936-367c-82c8-3e537f0766be/oil%2C-gold-etfs-rise-on.html
17,2025-05-07 07:30:00,"Chart Of The Day: As Dollar Gets Dumped, Alternative Hunt Heats Up",https://seekingalpha.com/article/4782749-chart-of-the-day-as-dollar-gets-dumped-alternative-hunt-heats-up?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
18,2025-05-07 06:39:00,2025 ETF Inflows Are Recognition Of The Golden Bull,https://seekingalpha.com/article/4782803-2025-etf-inflows-recognition-golden-bull?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
19,2025-05-07 06:01:00,Commodity Roundup: Gold prices ease; speculators hold large longs in coffee and cattle,https://seekingalpha.com/news/4442786-commodity-roundup-gold-prices-ease-speculators-hold-large-longs-in-coffee-and-cattle?utm_source=finviz.com&utm_medium=referral&feed_item_type=news
20,2025-05-07 05:30:00,Still On The Sidelines? Why Gold Belongs In Your Portfolio Today,https://seekingalpha.com/article/4782797-still-on-sidelines-gold-belongs-your-portfolio-today?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
21,2025-05-05 15:09:00,"Gold, Equity, Bonds: Something's Gotta Give - And I Think It's Bonds",https://seekingalpha.com/article/4781892-gold-equity-bonds-somethings-gotta-give-and-i-think-its-bonds?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
22,2025-05-05 05:30:00,"International Returns Starting To Shine, But Probably Not Like March 2000 Through 2007",https://seekingalpha.com/article/4781696-international-returns-starting-to-shine-probably-not-like-march-2000-through-2007?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
23,2025-05-04 23:27:00,"Gold Stock Correction On Cue, Bull Far From Over",https://seekingalpha.com/article/4781668-gold-stock-correction-necessary-bull-far-from-over?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
24,2025-05-04 12:53:00,The Economic Order Is Changing - Here's How We're Positioning,https://seekingalpha.com/article/4781626-economic-order-changing-how-were-positioning?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
25,2025-05-04 10:50:00,Trump's First 100 Days Are Behind Us - Dawn Of A New Bull Market?  (Technical Analysis),https://seekingalpha.com/article/4781605-trumps-first-100-days-are-behind-us-dawn-of-new-bull-market-technical-analysis?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
26,2025-05-04 10:10:00,The Greed And Fear Tango: The Markets In April 2025,https://seekingalpha.com/article/4781606-the-greed-and-fear-tango-markets-in-april-2025?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
27,2025-05-04 08:01:00,Gold Price And Investment Outlook: 2025 And Beyond,https://seekingalpha.com/article/4781581-gold-price-and-investment-outlook-2025-beyond?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
28,2025-05-03 22:24:00,"The 1-Minute Market Report May 4, 2025",https://seekingalpha.com/article/4781522-the-1-minute-market-report-may-4-2025?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
29,2025-05-03 07:00:00,The Only 2 Investments You Need To Retire,https://seekingalpha.com/article/4781497-only-2-investments-you-need-to-retire?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
30,2025-05-03 03:40:00,Weekly Commentary: The Typical And Atypical,https://seekingalpha.com/article/4781463-weekly-commentary-the-typical-and-atypical?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
