,Datetime,headline,source,link
0,2025-05-28 08:41:54,"Taiwan trims 2025 GDP growth forecast, cites U.S. tariffs uncertainty",Reuters,https://www.investing.com/news/economic-indicators/taiwan-trims-2025-gdp-growth-forecast-cites-us-tariffs-uncertainty-4066777
1,2025-05-28 08:41:08,"Shares hold firm on trade optimism, long-end yields move higher",Reuters,https://www.investing.com/news/stock-market-news/asian-shares-us-dollar-climb-on-rosy-data-tech-optimism-4066432
2,2025-05-28 07:48:08,"Nvidia earnings, new Stellantis CEO, Japanese bond auction - what’s moving markets",Investing.com,https://www.investing.com/news/economy-news/nvidia-earnings-new-stellantis-ceo-japanese-bond-auction--whats-moving-markets-4066692
3,2025-05-28 07:30:36,"European shares flat as investors await US trade signals, regional economic data",Reuters,https://www.investing.com/news/stock-market-news/european-shares-flat-as-investors-await-us-trade-signals-regional-economic-data-4066679
4,2025-05-28 07:10:17,Is it time to buy/sell Nvidia ahead of earnings? Here’s what our AI model says,Investing.com,https://www.investing.com/news/stock-market-news/is-it-time-to-buysell-nvidia-ahead-of-earnings-heres-what-our-ai-model-says-4066634
5,2025-05-28 05:42:17,"Gold prices muted as Trump tariff relief, dollar recovery pressure havens",Investing.com,https://www.investing.com/news/commodities-news/gold-prices-muted-as-trump-tariff-relief-dollar-recovery-pressure-havens-4066516
6,2025-05-28 04:35:33,Morning Bid: Nvidia earnings take the spotlight,Reuters,https://www.investing.com/news/economy-news/morning-bid-nvidia-earnings-take-the-spotlight-4066472
7,2025-05-28 04:18:16,Nvidia Asian suppliers advance ahead of Q1 earnings,Investing.com,https://www.investing.com/news/stock-market-news/nvidia-asian-suppliers-advance-ahead-of-q1-earnings-4066467
8,2025-05-28 02:52:01,Asia stocks rise tracking Wall St gains; Tech upbeat before Nvidia earnings,Investing.com,https://www.investing.com/news/stock-market-news/asia-stocks-rise-tracking-wall-st-gains-tech-upbeat-before-nvidia-earnings-4066438
9,2025-05-28 00:07:24,US stock futures steady with Nvidia earnings in focus,Investing.com,https://www.investing.com/news/stock-market-news/us-stock-futures-steady-with-nvidia-earnings-in-focus-4066366
10,2025-05-28 00:01:03,"Japan proposes to buy U.S. chip products in tariff talks, Asahi says",Reuters,https://www.investing.com/news/stock-market-news/japan-proposes-to-buy-us-chip-products-in-tariff-talks-asahi-says-4066362
11,2025-05-27 23:51:34,"Japan offers to buy US chips as part of tariff negotiations, Asahi reports",Investing.com,https://www.investing.com/news/stock-market-news/japan-offers-to-buy-us-chips-as-part-of-tariff-negotiations-asahi-reports-4066353
12,2025-05-27 22:52:12,US stocks end sharply higher on Trump’s tariff reprieve,Reuters,https://www.investing.com/news/economy-news/us-stock-futures-rally-after-long-weekend-on-trade-reprieve-4064416
13,2025-05-27 21:36:16,"Munster previews NVIDIA’s earnings, highlights U.S. chip restrictions",Investing.com,https://www.investing.com/news/stock-market-news/munster-previews-nvidias-earnings-highlights-us-chip-restrictions-93CH-4066274
14,2025-05-27 21:25:55,"Shares rise, Treasury yields fall, buoyed by easing trade tensions",Reuters,https://www.investing.com/news/stock-market-news/asian-shares-dip-dollar-struggles-after-trumps-tariff-backflip-4063927
15,2025-05-27 21:18:06,TSX closes higher as Trump delays tariffs on EU,Investing.com,https://www.investing.com/news/stock-market-news/tsx-higher-as-trump-delays-tariffs-on-eu-4065466
16,2025-05-27 21:11:07,Trading Day: Japan spreads long bond relief,Reuters,https://www.investing.com/news/economy-news/trading-day-japan-spreads-long-bond-relief-4066219
17,2025-05-27 20:51:10,Semiconductor ETF options show caution ahead of Nvidia results,Reuters,https://www.investing.com/news/stock-market-news/semiconductor-etf-options-show-caution-ahead-of-nvidia-results-4066149
18,2025-05-27 20:41:16,Nvidia suppliers ramp up AI server production after technical snag - FT,Investing.com,https://www.investing.com/news/stock-market-news/nvidia-suppliers-ramp-up-ai-server-production-after-technical-snag--ft-4066110
19,2025-05-27 20:35:06,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 1.78%,Investing.com,https://www.investing.com/news/stock-market-news/us-stocks-higher-at-close-of-trade-dow-jones-industrial-average-up-178-4066077
20,2025-05-27 20:24:32,"Stock market today: S&P 500 rallies on consumer confidence, Trump EU tariff delay",Investing.com,https://www.investing.com/news/stock-market-news/us-stock-futures-jump-as-trump-delays-50-tariffs-against-the-eu-4063878
21,2025-05-27 16:26:31,"NVIDIA’s SWOT analysis: ai chip giant faces export hurdles, eyes new growth",Investing.com,https://www.investing.com/news/swot-analysis/nvidias-swot-analysis-ai-chip-giant-faces-export-hurdles-eyes-new-growth-93CH-4065748
22,2025-05-27 15:58:08,Veritone at 53rd JPMorgan Conference: Refocusing on AI and Data Refinery,Investing.com,https://www.investing.com/news/transcripts/veritone-at-53rd-jpmorgan-conference-refocusing-on-ai-and-data-refinery-93CH-4048647
23,2025-05-27 14:05:57,"Cantor Fitzgerald maintains overweight on NVIDIA stock, $200 target",Investing.com,https://www.investing.com/news/analyst-ratings/cantor-fitzgerald-maintains-overweight-on-nvidia-stock-200-target-93CH-4065409
24,2025-05-27 13:41:05,"Lynx: Risk priced in, Nvidia could surprise to the upside",Investing.com,https://www.investing.com/news/stock-market-news/lynx-risk-priced-in-nvidia-could-surprise-to-the-upside-4065322
25,2025-05-27 13:29:03,Nvidia Corp receives Investment Bank Analyst Rating Update,Investing.com,https://www.investing.com/news/pro/cantor-fitzgerald-maintains-nvidia-at-overweight-with-a-price-target-of-20000-4065198
26,2025-05-27 12:11:29,Factbox-Foreign companies eye US expansion to lessen fallout from tariffs,Reuters,https://www.investing.com/news/stock-market-news/factboxforeign-companies-eye-us-expansion-to-lessen-fallout-from-tariffs-4064887
27,2025-05-27 12:05:26,"Next 300 points likely up for the S&P 500, says JPMorgan",Investing.com,https://www.investing.com/news/stock-market-news/next-300-points-likely-up-for-the-sp-500-says-jpmorgan-4064865
28,2025-05-27 11:31:32,"Apple, Nvidia and Southwest Airlines rise premarket; PDD Holdings falls",Investing.com,https://www.investing.com/news/stock-market-news/apple-nvidia-and-southwest-airlines-rise-premarket-pdd-holdings-falls-4064756
29,2025-05-27 11:26:22,Morning Bid: Trade confusion and long yield relief,Reuters,https://www.investing.com/news/commodities-news/morning-bid-trade-confusion-and-long-yield-relief-4064763
30,2025-05-27 11:26:22,Morning Bid: Trade confusion and long yield relief,Reuters,https://www.investing.com/news/commodities-news/morning-bid-trade-confusion-and-long-yield-relief-4064763
31,2025-05-27 11:25:03,Marvell Technology Group Ltd receives Investment Bank Analyst Rating Update,Investing.com,https://www.investing.com/news/pro/susquehanna-maintains-marvell-at-positive-with-a-price-target-of-9000-4064636
