,Datetime,headline,source,description,link
0,2025-05-29 05:58:00,"Stock market today: Dow, S&P 500, Nasdaq slipped as Wall Street braced for Nvidia's earnings",Yahoo Finance,Investors are cautiously counting down to Nvidia's highly anticipated first quarter results.,https://finance.yahoo.com/news/live/stock-market-today-dow-sp-500-nasdaq-slipped-as-wall-street-braced-for-nvidias-earnings-133132811.html
1,2025-05-29 09:15:00,QQQ Jumps After NVDA Beats on Top and Bottom Lines,etf.com,- Nvidia Corp. (NVDA) reported better-than-expected top and bottom line earnings for the first quarter. - Shares jumped following the announcement.,https://finance.yahoo.com/news/qqq-jumps-nvda-beats-top-011500806.html
2,2025-05-29 06:00:00,DIA Attracts $167M in Assets as Dow Jumps 741 Points,etf.com,- DIA gained inflows Tuesday as an EU tariff delay boosted markets. - SPY saw massive outflows despite the broad market rally.,https://finance.yahoo.com/news/dia-attracts-167m-assets-dow-220000498.html
3,2025-05-28 23:00:00,5 ETFs That Investors Loved the Most Last Week,Zacks,"SPY, THRO, EFV, TLT and QQQ led ETF inflows last week as investors poured in $23.5B despite rising yields and renewed U.S.-EU trade tensions.",https://finance.yahoo.com/news/5-etfs-investors-loved-most-140000323.html
4,2025-05-28 21:30:00,Trump says informed that EU has ‘called to quickly establish meeting dates’,TipRanks,"President Donald Trump stated on Truth Social: “I was extremely satisfied with the 50% Tariff allotment on the European Union, especially since they were ‘slow walking (to put it mildly!), our negotiations with them. Remember, I am empowered to ‘SET A DEAL’ for Trade into the United States if we are unable to make a deal, or are treated unfairly. I have just been informed that the E.U. has called to quickly establish meeting dates. This is a positive event, and I hope that they will, FINALLY, li",https://finance.yahoo.com/news/trump-says-informed-eu-called-133006631.html
5,2025-05-28 21:25:00,Trump says ‘large scale Federal Funding’ may be held back from California,TipRanks,"President Donald J. Trump stated in a post to Truth Social: “California, under the leadership of Radical Left Democrat Gavin Newscum, continues to ILLEGALLY allow ‘MEN TO PLAY IN WOMEN’S SPORTS.’ This week a transitioned Male athlete, at a major event, won ‘everything,’ and is now qualified to compete in the ‘State Finals’ next weekend. As a Male, he was a less than average competitor. As a Female, this transitioned person is practically unbeatable. THIS IS NOT FAIR, AND TOTALLY DEMEANING TO WOM",https://finance.yahoo.com/news/trump-says-large-scale-federal-132520386.html
6,2025-05-28 20:41:00,"Exchange-Traded Funds Higher, Equity Futures Mixed Pre-Bell Wednesday as Nvidia Results Awaited",MT Newswires,The broad market exchange-traded fund SPDR S&P 500 ETF Trust (SPY) was up 0.1% and the actively trad,https://finance.yahoo.com/news/exchange-traded-funds-higher-equity-124101918.html
7,2025-05-27 23:30:00,EU-US Trade Deal Hopes to Boost These ETFs,Zacks,"EU tariff delay lifts hope for a trade deal, setting SPY, QQQ, XLK, XLI and VGK ETFs up for potential gains.",https://finance.yahoo.com/news/eu-us-trade-deal-hopes-153000284.html
8,2025-05-27 20:30:00,Tap 4 Quality ETFs With Cheaper Valuation & Juicy Yields,Zacks,"Tap into quality with IQDY, ADVE, UEVM and FDL -- ETFs offering lower P/Es than SPY and with yields up to 6.5% amid market uncertainty.",https://finance.yahoo.com/news/tap-4-quality-etfs-cheaper-123000431.html
9,2025-05-27 20:21:00,"Exchange-Traded Funds, Equity Futures Higher Pre-Bell Tuesday as US Delays EU Tariff Implementation",MT Newswires,The broad market exchange-traded fund SPDR S&P 500 ETF Trust (SPY) was up 1.5% and the actively trad,https://finance.yahoo.com/news/exchange-traded-funds-equity-futures-122146537.html
